run,allowance_post_base_llm,allowance_post_llm_base,allowance_pre_base_llm,allowance_pre_llm_base,approve_post_base_llm,approve_post_llm_base,approve_pre_base_llm,approve_pre_llm_base,balanceOf_post_base_llm,balanceOf_post_llm_base,balanceOf_pre_base_llm,balanceOf_pre_llm_base,totalSupply_post_base_llm,totalSupply_post_llm_base,totalSupply_pre_base_llm,totalSupply_pre_llm_base,transferFrom_post_base_llm,transferFrom_post_llm_base,transferFrom_pre_base_llm,transferFrom_pre_llm_base,transfer_post_base_llm,transfer_post_llm_base,transfer_pre_base_llm,transfer_pre_llm_base,refines_all_main_functions
1,OK,OK,OK,OK,TRIVIAL,TRIVIAL,TRIVIAL,TRIVIAL,OK,OK,OK,OK,OK,OK,OK,OK,ERROR,ERROR,OK,OK,ERROR,ERROR,OK,OK,No
2,OK,OK,OK,OK,ERROR,ERROR,OK,OK,OK,OK,OK,OK,TRIVIAL,TRIVIAL,TRIVIAL,TRIVIAL,ERROR,ERROR,OK,OK,ERROR,ERROR,OK,OK,No
3,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,ERROR,ERROR,OK,OK,ERROR,ERROR,OK,OK,No
4,OK,OK,OK,OK,ERROR,ERROR,OK,OK,OK,OK,OK,OK,TRIVIAL,TRIVIAL,TRIVIAL,TRIVIAL,ERROR,ERROR,OK,OK,ERROR,ERROR,OK,OK,No
5,OK,OK,OK,OK,TRIVIAL,TRIVIAL,TRIVIAL,TRIVIAL,OK,OK,OK,OK,OK,OK,OK,OK,ERROR,ERROR,OK,OK,ERROR,ERROR,OK,OK,No
6,OK,OK,OK,OK,TRIVIAL,TRIVIAL,TRIVIAL,TRIVIAL,OK,OK,OK,OK,OK,OK,OK,OK,ERROR,ERROR,OK,OK,ERROR,ERROR,OK,OK,No
7,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,ERROR,ERROR,OK,OK,ERROR,ERROR,OK,OK,No
8,OK,OK,OK,OK,TRIVIAL,TRIVIAL,TRIVIAL,TRIVIAL,OK,OK,OK,OK,OK,OK,OK,OK,TRIVIAL,TRIVIAL,TRIVIAL,TRIVIAL,ERROR,ERROR,OK,OK,No
9,OK,OK,OK,OK,TRIVIAL,TRIVIAL,TRIVIAL,TRIVIAL,OK,OK,OK,OK,OK,OK,OK,OK,ERROR,ERROR,OK,OK,TRIVIAL,TRIVIAL,TRIVIAL,TRIVIAL,No
10,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,OK,OK,OK,TRIVIAL,TRIVIAL,TRIVIAL,TRIVIAL,ERROR,ERROR,OK,OK,ERROR,ERROR,OK,OK,No
