run,balanceOfBatch_post_base_llm,balanceOfBatch_post_llm_base,balanceOfBatch_pre_base_llm,balanceOfBatch_pre_llm_base,balanceOf_post_base_llm,balanceOf_post_llm_base,balanceOf_pre_base_llm,balanceOf_pre_llm_base,isApprovedForAll_post_base_llm,isApprovedForAll_post_llm_base,isApprovedForAll_pre_base_llm,isApprovedForAll_pre_llm_base,safeBatchTransferFrom_post_base_llm,safeBatchTransferFrom_post_llm_base,safeBatchTransferFrom_pre_base_llm,safeBatchTransferFrom_pre_llm_base,safeTransferFrom_post_base_llm,safeTransferFrom_post_llm_base,safeTransferFrom_pre_base_llm,safeTransferFrom_pre_llm_base,setApprovalForAll_post_base_llm,setApprovalForAll_post_llm_base,setApprovalForAll_pre_base_llm,setApprovalForAll_pre_llm_base,refines_all_main_functions
1,OK,ERROR,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,OK,OK,No
2,OK,ERROR,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,OK,OK,No
3,OK,ERROR,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,OK,OK,No
4,OK,ERROR,OK,OK,OK,ERROR,OK,OK,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,ERROR,OK,OK,OK,ERROR,OK,OK,No
5,OK,N/A,OK,N/A,OK,N/A,OK,N/A,OK,N/A,OK,N/A,ERROR,N/A,OK,N/A,ERROR,N/A,OK,N/A,OK,N/A,OK,N/A,No
6,OK,N/A,OK,N/A,OK,N/A,OK,N/A,OK,N/A,OK,N/A,ERROR,N/A,OK,N/A,OK,N/A,OK,N/A,OK,N/A,OK,N/A,No
7,OK,ERROR,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,OK,OK,No
8,OK,ERROR,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,OK,OK,No
9,OK,ERROR,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,ERROR,OK,OK,OK,OK,OK,OK,No
10,OK,N/A,OK,N/A,ERROR,N/A,OK,N/A,OK,N/A,OK,N/A,ERROR,N/A,OK,N/A,ERROR,N/A,OK,N/A,OK,N/A,OK,N/A,No
