,context_category,contract,total_runs,successful_runs,success_rate,first_time_success,first_time_rate,second_iteration_success,loop_useful_cases,loop_useful_rate,avg_iterations_if_successful
cross_type_context_erc1155,cross_type_context,erc1155,20,1,5.0,0,0.0,0,1,5.0,2.0
cross_type_context_erc20,cross_type_context,erc20,20,4,20.0,0,0.0,1,4,20.0,4.25
cross_type_context_erc721,cross_type_context,erc721,20,6,30.0,0,0.0,1,6,30.0,4.0
multi_context_different_erc1155,multi_context_different,erc1155,10,4,40.0,0,0.0,1,4,40.0,3.0
multi_context_different_erc20,multi_context_different,erc20,10,2,20.0,0,0.0,1,2,20.0,2.0
multi_context_different_erc721,multi_context_different,erc721,10,4,40.0,0,0.0,1,4,40.0,2.5
multi_context_including_same_erc1155,multi_context_including_same,erc1155,30,29,96.66666666666667,13,43.333333333333336,8,16,53.333333333333336,0.9310344827586207
multi_context_including_same_erc20,multi_context_including_same,erc20,30,29,96.66666666666667,28,93.33333333333333,0,1,3.3333333333333335,0.2413793103448276
multi_context_including_same_erc721,multi_context_including_same,erc721,30,30,100.0,30,100.0,0,0,0.0,0.0
no_context_erc1155,no_context,erc1155,10,0,0.0,0,0.0,0,0,0.0,0.0
no_context_erc20,no_context,erc20,10,4,40.0,0,0.0,3,4,40.0,1.25
no_context_erc721,no_context,erc721,10,0,0.0,0,0.0,0,0,0.0,0.0
same_type_context_erc1155,same_type_context,erc1155,10,8,80.0,0,0.0,4,8,80.0,2.0
same_type_context_erc20,same_type_context,erc20,10,10,100.0,10,100.0,0,0,0.0,0.0
same_type_context_erc721,same_type_context,erc721,10,10,100.0,10,100.0,0,0,0.0,0.0
same_type_context_OVERALL,same_type_context,ALL,30,28,93.33333333333333,20,66.66666666666666,4,8,26.666666666666668,0.5714285714285714
multi_context_including_same_OVERALL,multi_context_including_same,ALL,90,88,97.77777777777777,71,78.88888888888889,8,17,18.88888888888889,0.38636363636363635
cross_type_context_OVERALL,cross_type_context,ALL,60,11,18.333333333333332,0,0.0,2,11,18.333333333333332,3.909090909090909
no_context_OVERALL,no_context,ALL,30,4,13.333333333333334,0,0.0,3,4,13.333333333333334,1.25
multi_context_different_OVERALL,multi_context_different,ALL,30,10,33.33333333333333,0,0.0,3,10,33.33333333333333,2.6
