run,status,output
1,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:39:5: Postcondition 'batchBalances.length == _owners.length' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:82:5: Postcondition 'forall (address _from) abs._operatorApprovals[_from][msg.sender] == con._operatorApprovals[_from][msg.sender]' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:82:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:82:5: Postcondition 'abs._balances[_id][_from] == abs_old._balances[_id][_from] - _value' might not hold at end of function.
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
2,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:39:5: Postcondition 'batchBalances.length == _ids.length' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:80:5: Postcondition 'forall (address _from) abs._operatorApprovals[_from][msg.sender] == con._operatorApprovals[_from][msg.sender]' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:80:5: Postcondition 'abs._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:80:5: Postcondition 'abs._balances[_id][_from] == abs_old._balances[_id][_from] - _value' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:80:5: Postcondition 'abs._balances[_id][_to] == abs_old._balances[_id][_to] + _value' might not hold at end of function.
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
3,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:39:5: Postcondition 'batchBalances.length == _ids.length' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:77:5: Postcondition 'forall (address _from) abs._operatorApprovals[_from][msg.sender] == con._operatorApprovals[_from][msg.sender]' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:77:5: Postcondition 'abs._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:77:5: Postcondition 'abs_old._balances[_id][_from] >= _value    ' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:77:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:77:5: Postcondition 'abs._balances[_id][_from] == abs_old._balances[_id][_from] - _value' might not hold at end of function.
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
4,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:26:5: Postcondition 'abs._balances[_id][_owner] == balance' might not hold at end of function.
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:39:5: Postcondition 'batchBalances.length == _ids.length' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:49:5: Postcondition 'abs._operatorApprovals[msg.sender][_operator] == _approved' might not hold at end of function.
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:80:5: Postcondition 'forall (address _from) abs._operatorApprovals[_from][msg.sender] == con._operatorApprovals[_from][msg.sender]' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:80:5: Postcondition 'abs._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:80:5: Postcondition 'abs._balances[_id][_from] == abs_old._balances[_id][_from] - _value' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:80:5: Postcondition 'abs_old._balances[_id][_from] >= _value    ' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:80:5: Postcondition 'abs._balances[_id][_to] == abs_old._balances[_id][_to] + _value' might not hold at end of function.
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
5,0,"Error while running verifier, details:
Parsing /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl
/tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl(197,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl
/tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl(197,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl
/tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl(197,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl
/tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl(197,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl
/tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl(197,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl
/tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl(197,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl
/tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl(197,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl
/tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl(197,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl
/tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl(197,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl
/tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl(197,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl
/tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl(197,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl
/tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl(197,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl
/tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl(197,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmp_b70a1yb/ERC1155_merge.sol.bpl

Use --show-warnings to see 1 warning.
No errors found.
"
6,0,"Error while running verifier, details:
Parsing /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl
/tmp/tmpjr1njo94/ERC1155_merge.sol.bpl(200,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl
/tmp/tmpjr1njo94/ERC1155_merge.sol.bpl(200,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl
/tmp/tmpjr1njo94/ERC1155_merge.sol.bpl(200,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl
/tmp/tmpjr1njo94/ERC1155_merge.sol.bpl(200,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl
/tmp/tmpjr1njo94/ERC1155_merge.sol.bpl(200,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl
/tmp/tmpjr1njo94/ERC1155_merge.sol.bpl(200,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl
/tmp/tmpjr1njo94/ERC1155_merge.sol.bpl(200,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl
/tmp/tmpjr1njo94/ERC1155_merge.sol.bpl(200,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl
/tmp/tmpjr1njo94/ERC1155_merge.sol.bpl(200,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl
/tmp/tmpjr1njo94/ERC1155_merge.sol.bpl(200,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl
/tmp/tmpjr1njo94/ERC1155_merge.sol.bpl(200,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl
/tmp/tmpjr1njo94/ERC1155_merge.sol.bpl(200,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl
/tmp/tmpjr1njo94/ERC1155_merge.sol.bpl(200,245): Error: old expressions allowed only in two-state contexts
1 name resolution errors detected in /tmp/tmpjr1njo94/ERC1155_merge.sol.bpl

Use --show-warnings to see 1 warning.
No errors found.
"
7,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:39:5: Postcondition 'batchBalances.length == _owners.length' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:81:5: Postcondition 'forall (address _from) abs._operatorApprovals[_from][msg.sender] == con._operatorApprovals[_from][msg.sender]' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:81:5: Postcondition 'abs._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:81:5: Postcondition 'abs._balances[_id][_to] == abs_old._balances[_id][_to] + _value' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:81:5: Postcondition 'abs._balances[_id][_from] == abs_old._balances[_id][_from] - _value' might not hold at end of function.
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
8,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:39:5: Postcondition 'batchBalances.length == _ids.length' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:81:5: Postcondition 'forall (address _from) abs._operatorApprovals[_from][msg.sender] == con._operatorApprovals[_from][msg.sender]' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:81:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:81:5: Postcondition 'abs._balances[_id][_from] == abs_old._balances[_id][_from] - _value' might not hold at end of function.
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
9,251,"Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:39:5: Postcondition 'batchBalances.length == _ids.length' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:80:5: Postcondition 'forall (address _from) abs._operatorApprovals[_from][msg.sender] == con._operatorApprovals[_from][msg.sender]' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:80:5: Postcondition 'abs._balances[_id][_to] == abs_old._balances[_id][_to] + _value' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:80:5: Postcondition 'abs._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
 - ./solc_verify_generator/ERC1155/imp/ERC1155_merge.sol:80:5: Postcondition 'abs._balances[_id][_from] == abs_old._balances[_id][_from] - _value' might not hold at end of function.
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Use --show-warnings to see 1 warning.
Errors were found by the verifier.
"
10,0,"Error while running verifier, details:
Parsing /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(165,354): Error: old expressions allowed only in two-state contexts
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(198,245): Error: old expressions allowed only in two-state contexts
2 name resolution errors detected in /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(165,354): Error: old expressions allowed only in two-state contexts
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(198,245): Error: old expressions allowed only in two-state contexts
2 name resolution errors detected in /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(165,354): Error: old expressions allowed only in two-state contexts
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(198,245): Error: old expressions allowed only in two-state contexts
2 name resolution errors detected in /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(165,354): Error: old expressions allowed only in two-state contexts
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(198,245): Error: old expressions allowed only in two-state contexts
2 name resolution errors detected in /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(165,354): Error: old expressions allowed only in two-state contexts
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(198,245): Error: old expressions allowed only in two-state contexts
2 name resolution errors detected in /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(165,354): Error: old expressions allowed only in two-state contexts
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(198,245): Error: old expressions allowed only in two-state contexts
2 name resolution errors detected in /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(165,354): Error: old expressions allowed only in two-state contexts
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(198,245): Error: old expressions allowed only in two-state contexts
2 name resolution errors detected in /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(165,354): Error: old expressions allowed only in two-state contexts
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(198,245): Error: old expressions allowed only in two-state contexts
2 name resolution errors detected in /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(165,354): Error: old expressions allowed only in two-state contexts
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(198,245): Error: old expressions allowed only in two-state contexts
2 name resolution errors detected in /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(165,354): Error: old expressions allowed only in two-state contexts
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(198,245): Error: old expressions allowed only in two-state contexts
2 name resolution errors detected in /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(165,354): Error: old expressions allowed only in two-state contexts
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(198,245): Error: old expressions allowed only in two-state contexts
2 name resolution errors detected in /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(165,354): Error: old expressions allowed only in two-state contexts
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(198,245): Error: old expressions allowed only in two-state contexts
2 name resolution errors detected in /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl

Error while running verifier, details:
Parsing /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(165,354): Error: old expressions allowed only in two-state contexts
/tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl(198,245): Error: old expressions allowed only in two-state contexts
2 name resolution errors detected in /tmp/tmp9a2w9qrk/ERC1155_merge.sol.bpl

Use --show-warnings to see 1 warning.
No errors found.
"
