run,time_taken,iterations,verified,annotated_contract,status
1,722.7154114246368,10,False,,[]
2,208.37241196632385,3,True,"// SPDX-License-Identifier: GPL-3.0-or-later
pragma solidity ^0.5.0;
pragma experimental ABIEncoderV2;

/**
 * @title ERC7683 Interface Template for Postcondition Generation
 *
 * IMPORTANT NOTES FOR FORMAL SPECIFICATION GENERATION:
 * - Use exact variable names as declared (e.g., 'order.user', 'usedNonces', 'openedOrders')
 * - Only use __verifier_old_uint() and __verifier_old_bool() functions
 * - For view functions, focus on return value relationships to input parameters
 * - For state-changing functions, focus on state variable changes
 * - OrderId computation: gasless orders use bytes32(order.nonce), onchain orders use bytes32(uint256(order.fillDeadline))
 * - This is a simplified implementation focusing on nonce tracking and order uniqueness
 * - DO NOT create TAUTOLOGIES in the formal specifications
 *
 * COMMON MISTAKES TO AVOID:
 * - DO NOT use abi.encode(), abi.encodePacked(), or keccak256() in formal specifications
 * - DO NOT use block.timestamp, block.number, or any block context variables
 * - DO NOT use the implication operator ""==>"" - use ""!(condition) || condition2"" instead
 * - DO NOT use ""in"" operator or other unsupported Solidity constructs
 * - DO NOT reference undeclared variables or use incorrect parameter names
 * - DO NOT use complex function calls - only simple variable references and comparisons
 * - For forall statements, ALWAYS specify the range: !(0 <= i && i < arr.length) || condition
 * - DO NOT use tuple syntax like (order.nonce, user) - use proper mapping access
 * - DO NOT use array.length in formal specifications without proper range specification
 * - Keep formal specifications simple and focused on state variable changes only
 * - DO NOT create TAUTOLOGIES in the formal specifications
 *
 *
 */

library ERC7683Types {
    struct GaslessCrossChainOrder {
        address originSettler;
        address user;
        uint256 nonce;
        uint256 originChainId;
        uint32 openDeadline;
        uint32 fillDeadline;
        bytes32 orderDataType;
        bytes orderData;
    }

    struct OnchainCrossChainOrder {
        uint32 fillDeadline;
        bytes32 orderDataType;
        bytes orderData;
    }

    struct ResolvedCrossChainOrder {
        address user;
        uint256 originChainId;
        uint32 openDeadline;
        uint32 fillDeadline;
        bytes32 orderId;
        Output[] maxSpent;
        Output[] minReceived;
        FillInstruction[] fillInstructions;
    }

    struct Output {
        bytes32 token;
        uint256 amount;
        bytes32 recipient;
        uint256 chainId;
    }

    struct FillInstruction {
        uint64 destinationChainId;
        bytes32 destinationSettler;
        bytes originData;
    }
}

contract IOriginSettler {
    // Mapping from user address and nonce to usage status
    mapping(address => mapping(uint256 => bool)) public usedNonces;
    // Mapping from order ID to opened status
    mapping(bytes32 => bool) public openedOrders;

    uint256 public constant SUPPORTED_CHAIN_ID = 1;
    bytes32 public constant ORDER_DATA_TYPE_HASH = bytes32(uint256(1));

    event Open(bytes32 indexed orderId, ERC7683Types.ResolvedCrossChainOrder resolvedOrder);

    /// @notice postcondition forall (address u, uint256 n) !(usedNonces[u][n] && order.nonce == n && order.user == u) || (usedNonces[order.user][order.nonce] && __verifier_old_bool(usedNonces[order.user][order.nonce]) == false)
    /// @notice postcondition openedOrders[bytes32(order.nonce)] == true    
    function openFor(
        ERC7683Types.GaslessCrossChainOrder calldata order,
        bytes calldata,  // Unused parameter to silence warning
        bytes calldata   // Unused parameter to silence warning
    ) external;

    /// @notice postcondition openedOrders[bytes32(uint256(order.fillDeadline))] == true
    function open(ERC7683Types.OnchainCrossChainOrder calldata order) external;

    /// @notice postcondition forall (uint x) !(0 <= x && x < resolvedOrder.fillDeadline) || (resolvedOrder.fillDeadline == order.fillDeadline)
    /// @notice postcondition  resolvedOrder.originChainId == SUPPORTED_CHAIN_ID
    /// @notice postcondition resolvedOrder.orderId == bytes32(order.nonce)
    /// @notice postcondition resolvedOrder.user == order.user
    function resolveFor(
        ERC7683Types.GaslessCrossChainOrder calldata order,
        bytes calldata  // Unused parameter to silence warning
    ) external view returns (ERC7683Types.ResolvedCrossChainOrder memory resolvedOrder);

    /// @notice postcondition resolvedOrder.originChainId == SUPPORTED_CHAIN_ID
    /// @notice postcondition resolvedOrder.fillDeadline == order.fillDeadline
    /// @notice postcondition resolvedOrder.orderId == bytes32(uint256(order.fillDeadline))
    /// @notice postcondition resolvedOrder.user == msg.sender
    function resolve(
        ERC7683Types.OnchainCrossChainOrder calldata order
    ) external view returns (ERC7683Types.ResolvedCrossChainOrder memory resolvedOrder);
}

contract IDestinationSettler {
    // Mapping from order ID to filled status
    mapping(bytes32 => bool) public filledOrders;

    /// @notice postcondition filledOrders[orderId] == true
    function fill(
        bytes32 orderId,
        bytes calldata,  // Unused parameter to silence warning
        bytes calldata   // Unused parameter to silence warning
    ) external;
}
","[""Interaction: 3\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:29:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:80:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:145:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:146:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:127:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:128:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:129:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: OK\nERC7683OriginSettler::open: OK\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:78:5: Postcondition 'resolvedOrder.user == msg.sender' might not hold at end of function.\nERC7683OriginSettler::resolve: OK\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n""]"
3,530.8998310565948,10,False,,[]
4,644.7394142150879,10,False,,[]
5,636.6465146541595,10,False,,[]
6,772.7123236656189,10,False,,[]
7,353.6163125038147,10,False,,[]
8,321.6460700035095,10,False,,[]
9,284.07106351852417,10,False,,[]
10,357.8195216655731,10,False,,[]
