run,time_taken,iterations,verified,annotated_contract,status
1,408.7536692619324,10,False,,[]
2,370.08235812187195,10,False,,[]
3,356.3870441913605,10,False,,"[""Interaction: 2\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:76:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:138:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:139:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:120:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:121:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:122:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: OK\nERC7683OriginSettler::open: OK\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:74:5: Postcondition 'forall (address x) !(x == order.originSettler) || (resolvedOrder.originChainId == order.originChainId && resolvedOrder.user == x)  || (order.originSettler == msg.sender)' might not hold at end of function.\nERC7683OriginSettler::resolve: OK\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 3\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:76:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:138:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:139:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:120:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:121:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:122:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: OK\nERC7683OriginSettler::open: OK\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:74:5: Postcondition '(!(order.originSettler == msg.sender) || (resolvedOrder.originChainId == order.originChainId && resolvedOrder.user == order.originSettler)) && !(order.originSettler != msg.sender) ' might not hold at end of function.\nERC7683OriginSettler::resolve: OK\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 4\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:76:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:138:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:139:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:120:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:121:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:122:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: OK\nERC7683OriginSettler::open: OK\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:74:5: Postcondition '(order.originSettler == msg.sender) || (resolvedOrder.originChainId == order.originChainId && resolvedOrder.user == order.originSettler)' might not hold at end of function.\nERC7683OriginSettler::resolve: OK\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n""]"
4,362.47968220710754,10,False,,[]
5,319.44529366493225,10,False,,[]
6,477.3392584323883,10,False,,"[""Interaction: 5\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:81:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:148:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:149:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:130:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:131:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:132:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: ERROR\n - ERC7683_merge.sol:25:5: Postcondition 'forall (address userParam) ( !(userParam == order.user) || usedNonces[order.user][order.nonce] ) && usedNonces[order.user][order.nonce] ==  __verifier_old_bool(usedNonces[order.user][order.nonce]) || !(order.user == userParam)' might not hold at end of function.\nERC7683OriginSettler::open: OK\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:79:5: Postcondition 'forall (uint x) !(0 <= x && x < order.nonce) || (resolvedOrder.orderId != bytes32(order.nonce)) ' might not hold at end of function.\nERC7683OriginSettler::resolve: ERROR\n - ERC7683_merge.sol:103:5: Postcondition 'resolvedOrder.openDeadline == order.fillDeadline' might not hold at end of function.\n - ERC7683_merge.sol:103:5: Postcondition 'forall (uint x) !(0 <= x && x < order.fillDeadline) || (resolvedOrder.orderId != bytes32(uint256(order.fillDeadline)))' might not hold at end of function.\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 6\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:81:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:148:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:149:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:130:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:131:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:132:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: ERROR\n - ERC7683_merge.sol:25:5: Postcondition 'forall (address userParam) ( !(userParam == order.user) || usedNonces[order.user][order.nonce] ) && ( usedNonces[order.user][order.nonce] == __verifier_old_bool(usedNonces[order.user][order.nonce]) || !(order.user == userParam))' might not hold at end of function.\nERC7683OriginSettler::open: OK\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:79:5: Postcondition 'forall (uint x) !(0 <= x && x < order.nonce) || (resolvedOrder.orderId != bytes32(order.nonce)) ' might not hold at end of function.\nERC7683OriginSettler::resolve: ERROR\n - ERC7683_merge.sol:103:5: Postcondition 'resolvedOrder.openDeadline == order.fillDeadline' might not hold at end of function.\n - ERC7683_merge.sol:103:5: Postcondition 'forall (uint x) !(0 <= x && x < order.fillDeadline) || (resolvedOrder.orderId != bytes32(uint256(order.fillDeadline)))' might not hold at end of function.\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 7\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:81:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:148:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:149:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:130:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:131:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:132:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: ERROR\n - ERC7683_merge.sol:25:5: Postcondition 'forall (address userParam) ( !(userParam == order.user) || usedNonces[order.user][order.nonce] ) && ( !(userParam == order.user) ||  __verifier_old_bool(usedNonces[order.user][order.nonce]) == usedNonces[order.user][order.nonce])' might not hold at end of function.\nERC7683OriginSettler::open: OK\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:79:5: Postcondition 'forall (uint x) !(0 <= x && x < order.nonce) || (resolvedOrder.orderId != bytes32(order.nonce)) ' might not hold at end of function.\nERC7683OriginSettler::resolve: ERROR\n - ERC7683_merge.sol:103:5: Postcondition 'resolvedOrder.openDeadline == order.fillDeadline' might not hold at end of function.\n - ERC7683_merge.sol:103:5: Postcondition 'forall (uint x) !(0 <= x && x < order.fillDeadline) || (resolvedOrder.orderId != bytes32(uint256(order.fillDeadline)))' might not hold at end of function.\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 8\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:81:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:148:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:149:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:130:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:131:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:132:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: ERROR\n - ERC7683_merge.sol:25:5: Postcondition 'forall (address userParam) ( !(userParam == order.user) || usedNonces[order.user][order.nonce] ) && ( !(userParam == order.user) ||  __verifier_old_bool(usedNonces[order.user][order.nonce]) == usedNonces[order.user][order.nonce]) || usedNonces[order.user][order.nonce] == __verifier_old_bool(usedNonces[order.user][order.nonce])' might not hold at end of function.\nERC7683OriginSettler::open: OK\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:79:5: Postcondition 'forall (uint x) !(0 <= x && x < order.nonce) || (resolvedOrder.orderId != bytes32(order.nonce)) ' might not hold at end of function.\nERC7683OriginSettler::resolve: ERROR\n - ERC7683_merge.sol:103:5: Postcondition 'resolvedOrder.openDeadline == order.fillDeadline' might not hold at end of function.\n - ERC7683_merge.sol:103:5: Postcondition 'forall (uint x) !(0 <= x && x < order.fillDeadline) || (resolvedOrder.orderId != bytes32(uint256(order.fillDeadline)))' might not hold at end of function.\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 9\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:81:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:148:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:149:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:130:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:131:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:132:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: ERROR\n - ERC7683_merge.sol:25:5: Postcondition 'forall (address userParam) ( !(userParam == order.user) || usedNonces[order.user][order.nonce] ) && ( !(userParam == order.user) ||  __verifier_old_bool(usedNonces[order.user][order.nonce]) == usedNonces[order.user][order.nonce]) || (order.user != userParam && __verifier_old_bool(usedNonces[order.user][order.nonce]) == usedNonces[order.user][order.nonce])' might not hold at end of function.\nERC7683OriginSettler::open: OK\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:79:5: Postcondition 'forall (uint x) !(0 <= x && x < order.nonce) || (resolvedOrder.orderId != bytes32(order.nonce)) ' might not hold at end of function.\nERC7683OriginSettler::resolve: ERROR\n - ERC7683_merge.sol:103:5: Postcondition 'resolvedOrder.openDeadline == order.fillDeadline' might not hold at end of function.\n - ERC7683_merge.sol:103:5: Postcondition 'forall (uint x) !(0 <= x && x < order.fillDeadline) || (resolvedOrder.orderId != bytes32(uint256(order.fillDeadline)))' might not hold at end of function.\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 10\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:81:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:148:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:149:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:130:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:131:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:132:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: ERROR\n - ERC7683_merge.sol:25:5: Postcondition 'forall (address userParam) ( !(userParam == order.user) || usedNonces[order.user][order.nonce] ) && (!(userParam == order.user) || __verifier_old_bool(usedNonces[order.user][order.nonce]) == usedNonces[order.user][order.nonce]) || usedNonces[order.user][order.nonce] == __verifier_old_bool(usedNonces[order.user][order.nonce])' might not hold at end of function.\nERC7683OriginSettler::open: OK\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:79:5: Postcondition 'forall (uint x) !(0 <= x && x < order.nonce) || (resolvedOrder.orderId != bytes32(order.nonce)) ' might not hold at end of function.\nERC7683OriginSettler::resolve: ERROR\n - ERC7683_merge.sol:103:5: Postcondition 'resolvedOrder.openDeadline == order.fillDeadline' might not hold at end of function.\n - ERC7683_merge.sol:103:5: Postcondition 'forall (uint x) !(0 <= x && x < order.fillDeadline) || (resolvedOrder.orderId != bytes32(uint256(order.fillDeadline)))' might not hold at end of function.\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n""]"
7,445.71918058395386,10,False,,[]
8,386.63940596580505,10,False,,[]
9,352.5252640247345,10,False,,[]
10,247.23473286628723,10,False,,[]
