run,time_taken,iterations,verified,annotated_contract,function_status,status,threads
1,166.00639963150024,8,True,"pragma solidity >=0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition supply == _totalSupply
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value || _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender])
    /// @notice postcondition forall (address x) !(x == _to && msg.sender == x) || _balances[x] == __verifier_old_uint(_balances[x])
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _balances[_from] == __verifier_old_uint(_balances[_from]) - _value || _balances[_from] == __verifier_old_uint(_balances[_from])
    /// @notice postcondition forall (address addr) addr != _from || _balances[addr] == __verifier_old_uint(_balances[addr]) || addr != _to
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition __verifier_old_bool(success) || _allowed[msg.sender][_spender] == _value
    /// @notice postcondition _allowed[msg.sender][_spender] == _value || __verifier_old_uint(_allowed[msg.sender][_spender]) == _allowed[msg.sender][_spender]
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Verified', 'transfer': 'Verified', 'transferFrom': 'Verified', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_i8vgGEzRbWXXOXhEm73D6Vrv', 'thread_BXQS5MpjShidOyvlvSAMdZgk', 'thread_oZIqHVrk7u82Zp3IQ9Ktui6M', 'thread_taxXkDkpDZUg2PvIIb3VGbAh', 'thread_aS7k6DnmYxPU5cpvfzUf2fRS', 'thread_RAVnifEurIRD08CTERaS1zpi']"
2,366.6805031299591,24,False,"pragma solidity >=0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition supply == _totalSupply
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition true
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition __verifier_old_bool(success) || _allowed[msg.sender][_spender] == _value
    /// @notice postcondition _allowed[msg.sender][_spender] == _value || __verifier_old_uint(_allowed[msg.sender][_spender]) == _allowed[msg.sender][_spender]
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition forall (address spender) _allowed[_owner][spender] == __verifier_old_uint(_allowed[_owner][spender])
    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Verified', 'transfer': 'Failed', 'transferFrom': 'Failed', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_rUbwnaOVwo2n8wwKIU13YRLM', 'thread_FnixpmmKANo6Z6SVm9KDqmN6', 'thread_Jd1asqgPP0K5e7P2dzQHrIIP', 'thread_52miv7W1TKWS2tQlujFpeczI', 'thread_DSo8Al5ZAUiA0mhfHuLWXCqm', 'thread_hz7txEsDF4eVncKvR8NAHIiM']"
3,97.59755349159241,7,True,"pragma solidity >=0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition supply == _totalSupply
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value || _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender])
    /// @notice postcondition forall (address x) !(x == _to && msg.sender == x) || _balances[x] == __verifier_old_uint(_balances[x])
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _balances[_from] == __verifier_old_uint(_balances[_from]) - _value || _from == _to
    /// @notice postcondition _to != _from || _balances[_from] == __verifier_old_uint(_balances[_from])
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition success == true
    /// @notice postcondition _allowed[msg.sender][_spender] == _value
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition forall (address addr) _allowed[_owner][addr] == __verifier_old_uint(_allowed[_owner][addr])
    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Verified', 'transfer': 'Verified', 'transferFrom': 'Verified', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_Tkx9NhxvkV2QzMMXjGJSyIwv', 'thread_hnvKpyTVgFTOlRDrY7MorYt4', 'thread_iXcuKCPFZjlfjR53R4FvJLGV', 'thread_V3a9eVn2SG8Ymo8BYRmJvIHG', 'thread_tGW9uskGQXl46mv4DhwLzgos', 'thread_MvCt2T2i16Nt7NTtnJNO3fFi']"
4,155.1091229915619,11,True,"pragma solidity >=0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition supply == _totalSupply
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) || _value <= __verifier_old_uint(_balances[msg.sender])
    /// @notice postcondition _balances[msg.sender] <= __verifier_old_uint(_balances[msg.sender]) || _to != msg.sender
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _balances[_from] == __verifier_old_uint(_balances[_from]) - _value || _from == _to
    /// @notice postcondition _from != _to || _balances[_from] == __verifier_old_uint(_balances[_from])
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition __verifier_old_bool(success) || _allowed[msg.sender][_spender] == _value
    /// @notice postcondition _allowed[msg.sender][_spender] == _value || __verifier_old_uint(_allowed[msg.sender][_spender]) == _allowed[msg.sender][_spender]
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition forall (address spender) _allowed[_owner][spender] == __verifier_old_uint(_allowed[_owner][spender])
    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Verified', 'transfer': 'Verified', 'transferFrom': 'Verified', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_O7RclEH2s5vXStQLemF3YH0m', 'thread_POVfxlfV9bUm2TYChqHEq0AY', 'thread_XhQJtXOokVHmU68kbtxFNLTu', 'thread_J11T7LRPgnsJvHhz08mhLPnG', 'thread_Ug8xTXPDxCXgiAPLxmMm1Qu1', 'thread_0f992NzcTDdugEbWsX39DvCJ']"
5,208.78568506240845,15,False,"pragma solidity >=0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition supply == _totalSupply
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value || _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender])
    /// @notice postcondition _balances[msg.sender] <= __verifier_old_uint(_balances[msg.sender]) || _value > 0
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition __verifier_old_bool(success) || _allowed[msg.sender][_spender] == _value
    /// @notice postcondition _allowed[msg.sender][_spender] == _value || __verifier_old_uint(_allowed[msg.sender][_spender]) == _allowed[msg.sender][_spender]
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Verified', 'transfer': 'Verified', 'transferFrom': 'Failed', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_ELP0lEsYtuPYf53rbGxSxlbL', 'thread_xGWLJt9TxQbiuquTd7LtjLMk', 'thread_N3MRpKWXFara01donDf3jbe8', 'thread_ie2U1bgXAYlKMaicTsJSPyyu', 'thread_Zs5YeNUpEA6ui5SzIjOGkktQ', 'thread_ZVatko9R2llEmKi8yFHMx2P8']"
6,211.35739755630493,12,True,"pragma solidity >=0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition supply == _totalSupply
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value || _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender])
    /// @notice postcondition _balances[msg.sender] <= __verifier_old_uint(_balances[msg.sender]) || _to == msg.sender
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _balances[_from] == __verifier_old_uint(_balances[_from]) - _value || _from == _to
    /// @notice postcondition forall (address x) (x != _from) || _balances[x] == __verifier_old_uint(_balances[x]) || x == _from
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition __verifier_old_bool(success) || _allowed[msg.sender][_spender] == _value
    /// @notice postcondition _allowed[msg.sender][_spender] == _value || __verifier_old_uint(_allowed[msg.sender][_spender]) == _allowed[msg.sender][_spender]
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Verified', 'transfer': 'Verified', 'transferFrom': 'Verified', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_OpPYpRtbsEGZRQzRXksp2fUl', 'thread_UtoY4A4QfKEKXPSzGmtOdTH1', 'thread_6wP5WUn0qBMnc5IxU78sV7i3', 'thread_Fdxad3TzIDOYTjSYGNXI3yFv', 'thread_Nf8nlkrxjVhOVmpCVkcbjZA2', 'thread_TVZRkvImFVQTJD0AbECqwTXD']"
7,117.9292221069336,6,True,"pragma solidity >=0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition supply == _totalSupply
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value || _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender])
    /// @notice postcondition forall (address x) !(x == _to && msg.sender == x) || _balances[x] == __verifier_old_uint(_balances[x])
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _balances[_from] == __verifier_old_uint(_balances[_from]) - _value || _balances[_from] == __verifier_old_uint(_balances[_from])
    /// @notice postcondition _from != _to || _balances[_from] == __verifier_old_uint(_balances[_from])
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition __verifier_old_bool(success) || _allowed[msg.sender][_spender] == _value
    /// @notice postcondition _allowed[msg.sender][_spender] == _value || __verifier_old_uint(_allowed[msg.sender][_spender]) == _allowed[msg.sender][_spender]
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Verified', 'transfer': 'Verified', 'transferFrom': 'Verified', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_s2IqkxFhyLcfO4tv6XfS5tyY', 'thread_0nSZmlxFtUtl0uR2JQ6Fgp2u', 'thread_UJ6RSqZk0TjaXu1B4VRvHtZ4', 'thread_Rn9Z8AFqntG6uMfOfy19EXnm', 'thread_DBlyHggQu7swDeNyEpK1AnUo', 'thread_QLBkMPtZri2cgNbL6HV5oudC']"
8,189.77035689353943,15,True,"pragma solidity >=0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition supply == _totalSupply
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) || _value <= __verifier_old_uint(_balances[msg.sender])
    /// @notice postcondition _balances[msg.sender] <= __verifier_old_uint(_balances[msg.sender]) || _value == 0
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _balances[_from] == __verifier_old_uint(_balances[_from]) - _value || success
    /// @notice postcondition _balances[_from] == __verifier_old_uint(_balances[_from]) || success || _value == 0
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition __verifier_old_bool(success) || _allowed[msg.sender][_spender] == _value
    /// @notice postcondition _allowed[msg.sender][_spender] == _value || __verifier_old_uint(_allowed[msg.sender][_spender]) == _allowed[msg.sender][_spender]
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    /// @notice postcondition forall (uint256 x) !(0 <= x && x < _allowed[_owner][_spender]) || (x != remaining)
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Verified', 'transfer': 'Verified', 'transferFrom': 'Verified', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_S48bjsj2NwJR5kNpYsUVL2SR', 'thread_wUqYDBH9aqqdfIuRIppej3In', 'thread_fIu0SJvCEKtTKwKHXOFkwRzj', 'thread_xx4udK6GKumue25iJ1Z38R3I', 'thread_Ql161ll4GQbdhUwBPJS4Y1lz', 'thread_kue9GsHFmvWsmT6DSyBiwbme']"
9,171.0625295639038,12,True,"pragma solidity >=0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition supply == _totalSupply
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value || _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender])
    /// @notice postcondition forall (address x) _to != x || _balances[x] == __verifier_old_uint(_balances[x]) + (_value * 1) || _to == msg.sender
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _balances[_from] == __verifier_old_uint(_balances[_from]) - _value || success
    /// @notice postcondition _from == _to || _balances[_from] != __verifier_old_uint(_balances[_from]) || success
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition __verifier_old_bool(success) || _allowed[msg.sender][_spender] == _value
    /// @notice postcondition _allowed[msg.sender][_spender] == _value || __verifier_old_uint(_allowed[msg.sender][_spender]) == _allowed[msg.sender][_spender]
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Verified', 'transfer': 'Verified', 'transferFrom': 'Verified', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_6pnZaL5nh6c5LjnvL9DtzvVo', 'thread_bgB2zmG3XE4PJMAO8eN2gYGt', 'thread_2fQLngZr7XwpBRzpNMgX91YW', 'thread_wDb5GEIN6rfGwFmsj22s1dIl', 'thread_D61ptyoezfKxIoeTQ5xZrLo9', 'thread_gHG5w5kOtK7FrivSbDlMdNxf']"
10,117.40267848968506,7,True,"pragma solidity >=0.5.0;

contract ERC20 {

    // Events

    // State Variables
    uint public _totalSupply;

    // Functions
    /// @notice postcondition supply == _totalSupply
    function totalSupply() public view returns (uint256 supply);

    /// @notice postcondition _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender]) - _value || _balances[msg.sender] == __verifier_old_uint(_balances[msg.sender])
    /// @notice postcondition !(msg.sender == _to) || _balances[_to] == __verifier_old_uint(_balances[_to]) + _value || _balances[_to] == __verifier_old_uint(_balances[_to])
    function transfer(address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition _balances[_from] == __verifier_old_uint(_balances[_from]) || _balances[_from] == __verifier_old_uint(_balances[_from]) - _value
    /// @notice postcondition forall (address x) (x != _from) || _balances[_from] == __verifier_old_uint(_balances[_from]) || _balances[_from] == __verifier_old_uint(_balances[_from]) - _value
    function transferFrom(address _from, address _to, uint256 _value) public returns (bool success);

    /// @notice postcondition __verifier_old_bool(success) || _allowed[msg.sender][_spender] == _value
    /// @notice postcondition _allowed[msg.sender][_spender] == _value || __verifier_old_uint(_allowed[msg.sender][_spender]) == _allowed[msg.sender][_spender]
    function approve(address _spender, uint256 _value) public returns (bool success);

    /// @notice postcondition balance == _balances[_owner]
    function balanceOf(address _owner) public view returns (uint256 balance);

    /// @notice postcondition forall (address spender) _allowed[_owner][spender] == __verifier_old_uint(_allowed[_owner][spender])
    /// @notice postcondition remaining == _allowed[_owner][_spender]
    function allowance(address _owner, address _spender) public view returns (uint256 remaining);

}
","{'totalSupply': 'Verified', 'transfer': 'Verified', 'transferFrom': 'Verified', 'approve': 'Verified', 'balanceOf': 'Verified', 'allowance': 'Verified'}",[],"['thread_A6avbbSDMbz2ISXcvuiy3mFY', 'thread_8odYz5rebAONIjoOhMSKfKvF', 'thread_3w02TKIbbRBnWamsd6MZzCNb', 'thread_7jY7HWNI05etq1tKoU0tNOq0', 'thread_cAFXyIvw8tlGrItvvLOFd2eq', 'thread_0ZTZcTCW7ZA9psed2Gq54PnJ']"
