run,status,output
1,0,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
No errors found.
"
2,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: ERROR
 - ERC721_merge.sol:120:5: Postcondition 'con_old._tokenOwner[_tokenId] == _from || _from == address(0) || _to != address(0)' might not hold at end of function.
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
3,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: ERROR
 - ERC721_merge.sol:79:5: Postcondition 'con._tokenOwner[_tokenId] == con_old._tokenOwner[_tokenId]' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
4,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: ERROR
 - ERC721_merge.sol:78:5: Postcondition 'con._tokenOwner[_tokenId] == con_old._tokenOwner[_tokenId]' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
5,0,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
No errors found.
"
6,0,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
No errors found.
"
7,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: ERROR
 - ERC721_merge.sol:79:5: Postcondition 'con._tokenApprovals[_tokenId] == con_old._tokenApprovals[_tokenId]' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
8,251,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: ERROR
 - ERC721_merge.sol:79:5: Postcondition 'con._tokenOwner[_tokenId] == con_old._tokenOwner[_tokenId]' might not hold at end of function.
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
9,0,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
No errors found.
"
10,0,"ERC721_merge.sol:2:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::ownerOf_pre: OK
Refinement::ownerOf_post: OK
Refinement::approve_pre: OK
Refinement::getApproved_pre: OK
Refinement::getApproved_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::transferFrom_pre: OK
Refinement::transferFrom_post: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
No errors found.
"
